,Participant,std_temp,slope_temp,confidence
0,P1,0.164469145019,-0.001048132861,80
1,P1,0.105750244849,-0.00420278434463,80
2,P1,0.160462866995,0.000827388805653,40
3,P1,0.172234945718,-0.00444391303481,40
4,P1,0.125676878453,-0.00316949483129,40
5,P1,0.0800304108865,0.00225212050307,80
6,P1,0.0482088260497,0.000717875089734,60
7,P1,0.152761341551,0.00475965433432,60
8,P2,0.0920357514527,0.00252251758222,80
9,P2,0.109758569077,-0.000381292691164,40
10,P2,0.119749971004,-0.000542145346586,60
11,P2,0.112210024554,-0.00244098947822,60
12,P2,0.0838071766446,0.00595685979433,60
13,P2,0.0728866780438,0.00119453924915,60
14,P2,0.084290841065,4.17929161007e-05,80
15,P2,0.0958314266703,-0.000406526747069,100
16,P3,0.23242968066,-0.00161756951273,0
17,P3,0.123306126305,0.00199210179903,40
18,P3,0.13610234853,-0.00217209202657,0
19,P3,0.11860278283,-0.000288475407472,40
20,P3,0.132378147842,-0.00522367788713,20
21,P3,0.10124588469,-0.00314804558836,60
22,P3,0.0681975561634,-0.00115154727741,40
23,P3,0.179359111586,0.00943230674739,40
24,P4,0.179324549025,0.00295012790111,40
25,P4,0.168099664945,0.00684085665074,60
26,P4,0.143416050832,-0.00253157016917,20
27,P4,0.116019315236,0.00055728802305,60
28,P4,0.0896837963811,0.00280751008949,60
29,P4,0.14973567008,-0.000907708716273,80
30,P4,0.10036285047,0.00989930022188,80
31,P4,0.145693537551,-0.00536024264159,60
32,P5,0.0920798566463,0.0194164107065,60
33,P5,0.0733038198186,0.00271034301868,40
34,P5,0.0540477155443,-0.00833698990785,40
35,P5,0.120913739306,0.00553986232619,60
36,P5,0.117042727241,0.00422851477064,40
37,P5,0.0984534577013,-0.00156905674147,80
38,P5,0.108041485088,-0.00424175052656,60
39,P5,0.124511398014,0.00710333290439,60
40,P6,0.113253555424,-0.00257174409633,40
41,P6,0.118709187319,6.74134579733e-05,40
42,P6,0.127474221484,0.000500934780081,40
43,P6,0.16359917627,-0.0111240318582,40
44,P6,0.116849072002,-0.000132658669244,40
45,P6,0.106578057558,0.00406022669599,60
46,P6,0.0838887373933,0.00198760970573,60
47,P6,0.110627754203,-0.0110191122455,60
48,P7,0.0908106349971,-0.00909490058333,60
49,P7,0.284623254189,-0.00627757591487,40
50,P7,0.162758921926,-0.00061220920063,40
51,P7,0.116043813565,-0.00617938498665,60
52,P7,0.0995173351733,0.0224731418549,60
53,P7,0.157800030911,-0.00128069537628,80
54,P7,0.100697815269,-0.00234925606891,100
55,P7,0.0743236167042,-0.00944121198814,60
56,P8,0.188802161422,-0.00319664039363,0
57,P8,0.660392834141,-0.0203064394405,40
58,P8,0.201980090957,-0.00873189995612,0
59,P8,0.696588523756,0.134741921334,60
60,P8,0.036018513758,-0.00747417014728,60
61,P8,0.371821862394,-0.030354241144,80
62,P8,0.177353346526,0.0056412185032,60
63,P8,0.11919941275,0.00855216271038,80
64,P9,0.0950311564154,-0.000484144274994,60
65,P9,0.110756188691,-0.00572607007306,40
66,P9,0.10516153108,0.00603295088081,40
67,P9,0.103480682419,-0.00211656600072,60
68,P9,0.060961463237,-0.0127206930584,60
69,P9,0.0515581040695,-0.0040245865652,80
70,P9,0.0700439256121,0.000159527797719,60
71,P9,0.0324257393351,0.000501473077164,60
72,P10,0.485680084326,0.0174926562958,60
73,P10,0.187409330458,0.00965244915228,40
74,P10,0.128874616068,0.00865041058108,0
75,P10,0.159639685438,0.0136581656528,20
76,P10,0.178562797713,0.0260663507109,40
77,P10,0.218528176908,0.0204395041866,60
78,P10,0.123241738643,0.0109666098983,40
79,P10,0.142031852269,0.00585866928199,60
80,P11,0.168096670866,0.00224146714213,60
81,P11,0.167309178203,0.022754688014,60
82,P11,0.17149548099,0.0206919202978,60
83,P11,0.126924799633,0.00614169774073,60
84,P11,0.0290918086982,-0.0127304653205,60
85,P11,0.206054766183,0.0199947382268,60
86,P11,0.21629864631,0.0227794276458,60
87,P11,0.219776211937,-0.0204618532593,60
88,P12,0.187762638188,-0.00203913631249,40
89,P12,0.120159972421,-0.000957071361633,40
90,P12,0.0894246379529,0.00173901737392,60
91,P12,0.142350588337,0.00273592820924,40
92,P12,0.0959385456709,-0.003889043216,60
93,P12,0.117311028767,0.00163529036375,80
94,P12,0.0985639977886,-0.00238772708279,40
95,P12,0.083574740914,0.00546344063505,60
96,P13,0.262355688048,-0.00723538598088,60
97,P13,0.251575928063,0.00493153782023,60
98,P13,0.212827096746,0.00429085005219,80
99,P13,0.140173329556,0.000359915176748,80
100,P13,0.0859527001709,-0.00306936771025,80
101,P13,0.113325985314,-0.0018474470591,80
102,P13,0.128013705407,0.00605353365911,80
103,P13,0.13023038515,-0.000850836250486,60
104,P14,0.186128734475,0.0104907776527,40
105,P14,0.131113991579,0.00917394599338,40
106,P14,0.153394934121,-0.00108037588927,20
107,P14,0.122574794141,0.00321233938303,20
108,P14,0.0954557489102,-0.0109080274894,20
109,P14,0.11514680561,0.00214216612153,40
110,P14,0.0981137919789,-0.00403281117116,40
111,P14,0.0898008908642,-0.0207191405394,60
