,Participant,std_temp,slope_temp,confidence
0,P1,0.107738656859,-0.0012189473171,80
1,P1,0.125575437392,0.00153586238673,80
2,P1,0.118106060983,1.78904478426e-05,40
3,P1,0.212050305297,-0.00280805640011,40
4,P1,0.0714037036076,0.00526367092309,40
5,P1,0.195898432442,-0.00947451530836,80
6,P1,0.127979016983,-0.00534588685869,60
7,P1,0.0770600831187,-0.00149903111404,60
8,P2,0.103098455099,-0.00194092153891,80
9,P2,0.106884573868,-0.000185197793967,40
10,P2,0.124671951891,0.00213968288802,60
11,P2,0.103816371409,-3.13378929968e-05,60
12,P2,0.133184887603,0.0162968534537,60
13,P2,0.0842210593742,-0.00399510426529,60
14,P2,0.0756289071832,0.000647654862634,80
15,P2,0.0867005838838,-0.00014614660128,100
16,P3,0.26039681552,-0.00265189081971,0
17,P3,0.131303070514,-0.00152955803823,40
18,P3,0.151799316096,-0.000867776250232,0
19,P3,0.122676604014,-0.000247210454755,40
20,P3,0.089618527769,-0.000521202518451,20
21,P3,0.149407481701,-0.00704804738921,60
22,P3,0.118610103561,-0.00255399883246,40
23,P3,0.0623374330203,-0.00117016089712,40
24,P4,0.167149282186,0.00202591679737,40
25,P4,0.129187381851,0.00152751145634,60
26,P4,0.163585720412,0.00129680187207,20
27,P4,0.189745126981,-0.00442520792415,60
28,P4,0.115159959085,-0.00521047579871,60
29,P4,0.114085592357,0.00327944572748,80
30,P4,0.227739386295,-0.0152818737966,80
31,P4,0.0781254333321,0.00506389279903,60
32,P5,0.0912176883431,0.0124615159068,60
33,P5,0.135711036007,0.00213237103256,40
34,P5,0.0787894521987,0.00117056040579,40
35,P5,0.0912350265269,0.000386010962711,60
36,P5,0.11887092089,0.0117296048205,40
37,P5,0.116660170515,0.00124367216101,80
38,P5,0.107814689875,0.00109685203466,60
39,P5,0.0891341062046,-0.00658149438637,60
40,P6,0.0642962343153,0.000196359791557,40
41,P6,0.201120476714,-0.00563586253445,40
42,P6,0.104644250763,0.000913141938783,40
43,P6,0.111846131551,0.0060409735598,40
44,P6,0.149107476425,-0.00466786355476,40
45,P6,0.127396093762,-0.00464540105296,60
46,P6,0.066793268069,0.000173751882312,60
47,P6,0.119860558865,0.0138427810836,60
48,P7,0.0651721621115,0.00093318402389,60
49,P7,0.100447273541,-0.000650015437867,40
50,P7,0.137534223014,-0.00437343285323,40
51,P7,0.0945134269762,-0.00618293509913,60
52,P7,0.0502971172136,0.0115913768822,60
53,P7,0.167632420142,-0.00359607110967,80
54,P7,0.0959891362901,-0.00126931325776,100
55,P7,0.057634191241,0.0052620039465,60
56,P8,0.485874274216,0.0147130254932,0
57,P8,0.1649487092,0.00206524718998,40
58,P8,0.358771834788,0.015357292102,0
59,P8,0.28714578179,-0.0322099350535,60
60,P8,0.0630238050264,0.0131463628396,60
61,P8,0.670210820303,-0.0102863271475,80
62,P8,0.187809427219,0.0192735591839,60
63,P8,0.224950426638,-0.0212800965283,80
64,P9,0.0913910632216,0.0039181277703,60
65,P9,0.0745267289859,-0.000811617092217,40
66,P9,0.0921844213111,-0.00442930865178,40
67,P9,0.13683707818,0.00533833853354,60
68,P9,0.126234702043,0.0285150252248,60
69,P9,0.0975734155832,0.0160901045857,80
70,P9,0.110548979747,-0.00219362386663,60
71,P9,0.0711457257024,-0.0126661650364,60
72,P10,0.466674419895,0.0113086817018,60
73,P10,0.23252862727,0.0223808548609,40
74,P10,0.245034720572,0.0120896963314,0
75,P10,0.138296356976,0.00416918097537,20
76,P10,0.089588072461,0.00761836384668,40
77,P10,0.159938192045,0.0144057218043,60
78,P10,0.22191260866,0.0181456816891,40
79,P10,0.216280175434,0.0104004025962,60
80,P11,0.155094534452,0.00362779123829,60
81,P11,0.142207092449,-0.01424217924,60
82,P11,0.192108042518,-0.00504385964912,60
83,P11,0.0850733577007,0.0187175550194,60
84,P11,0.255165305897,0.101754385965,60
85,P11,0.0362532757141,-0.00342165292157,60
86,P11,0.191950881805,0.0121010492451,60
87,P11,0.220197638498,0.0641100702576,60
88,P12,0.138118493669,0.00132224451006,40
89,P12,0.23373391175,-0.012391524515,40
90,P12,0.12950232514,-0.00131611932815,60
91,P12,0.0837212637267,0.00219382438436,40
92,P12,0.098470884791,-0.00909560312984,60
93,P12,0.131896473956,0.00194986072423,80
94,P12,0.124035153757,0.00462695199537,40
95,P12,0.0951259653058,-0.0030072898228,60
96,P13,0.139353431411,-0.00648329175937,60
97,P13,0.219422960248,-0.0108426401687,60
98,P13,0.268268317873,0.00146043547531,80
99,P13,0.296435507616,0.00463557878104,80
100,P13,0.0982479855604,-0.00816004211635,80
101,P13,0.109654869824,0.00391770628146,80
102,P13,0.102394575651,-0.0055085675287,80
103,P13,0.151604016364,0.00476456717797,60
104,P14,0.163127295364,-0.0012371526456,40
105,P14,0.260865865916,0.0236089169738,40
106,P14,0.137293487322,0.000250414749429,20
107,P14,0.178369199776,0.00469395418701,20
108,P14,0.123382062446,0.004914148653,20
109,P14,0.0856712402356,0.00175058960831,40
110,P14,0.0986648946582,-0.000748522313708,40
111,P14,0.0987284153626,0.0230544431216,60
